代码名称,代码,引用标准,"单位
Unit",C11-2nd目标值,C11-2nd实测值,理想L7,理想L6,深蓝S7,领克08,极氪7X,阿维塔07,小鹏G6,小鹏G7,C18-实测值,唐L,理想L8,蓝山,银河M9,C05目标值,ET5-T,Porsche Panamera 2023款,Zeeker 007 GT,小鹏全新P7,C10目标值,C10(27）,深蓝S7,C16-27-6座,C16-27-5座,27款（6座）,唐DM-i,L7,C11RE1A,C11EV1A,C11RE1A-26款,领克08,小鹏G6,宋L,理想L6
前排人体H点与前门洞密封条前端的空间（BRL）,L71-1,LA1,mm,775,780,800,747,744,,762,,786,782,777,808,800,762,759,≥785,819,801,782,814,"
≥770",774.6,744,,,775,808,800,≥1475,≥1475,768,,786,744,747
前排人体H点与前门洞密封条后端的空间（BRL）,L70-1,LA2,mm,50,40,23,53,75,,44,,22,26,39,97,36,73,51,≥35,13,-16,28,13,40,36,75,,,36,97,23,,,33,,22,75,53
第一排R点向前15°线与门框（含密封条）交点与R点的距离,H15-1,GB/T 12673,mm,800,795,796,781,774,,804,,800,795,814,787,801,832,828,≥755,749,760,749,762,800,804.5,774,,,805,787,796,,,800,,800,774,781
前排H点上方665mm到门洞后沿的X向距离,LA3,见图示说明,mm,160,160,156,183,230,,,,159,160,134,159,173,178,181,≥155,166,199,161,160,/,176,230,,,176,159,156,,,156,,159,230,183
前排H点上方750mm到门洞前沿的X向距离,LA4,见图示说明,mm,270,245,261,215,194,,,,280,262,,243,268,325,309,≥80,89,152,59,162,/,322,194,,,287,243,261,,,290,,280,194,215
前排Rocker到R点Y向距离 SgRP to Rocker-Front,W18,SAE J1100,mm,490,490,/,468,494,465,485,,491,497,489,/,/,492,478,≤525,519,525,509,547,"
≤485",498,494,≤530,≤530,497,/,/,≤490,≤490,471,465,491,494,468
二排Rocker到R点Y向距离 SgRP to Rocker-Second,W19,SAE J1100,mm,500,500,/,477,486,475,497,,517,512,489,/,488,478,465,≤545,553,547,524,578,"
≤495",529,486,≤500,≤500,513,/,/,≤490,≤490,482,475,517,486,477
踵点离门槛Z向高度,HA2,,,42,62,34,43,82,,,,88,92,60,60,37,33,59,≤85,85,197,92.7,116,≤70,63.7,82,,,64,60,34,,,71,,88,82,43
二排门槛高度 Step Height-Second,H130-2,SAE J1100,mm,450,≤480,442,478,418,468,459,,452,441,471.6,512,480,468,466,≤425,426,382,389,406,"
≤445",443,418,≤480,≤480,473,512,442,≤475,≤475,457,468,452,418,478
后排脚部进入空间 Entrance Foot Clearance - Second,L19,SAE J1100,mm,,≥350,373,329,298,335,344(B柱）,,325,327,246,347,399,/,335,≥310,303,322,347,301,340,364,298,≥340,≥400,293,347,373,≥300,≥300,345,335,325,298,329
后门最大开度 Door Open Angle - Front,A125-2,SAE J1100,°,65,65,/,/,/,,NA,,/,/,,/,/,/,/,≥65,/,/,/,/,65,65,/,65,65,/,/,/,,,65,,/,/,/
R点前330处到车门上顶衬之间Z向距离 Upper Body Opening to SgRP-Second,H11-2,SAE J1100,mm,800,791,807,809,804,793,808,,820,809,845.5,805,812,831,843,≥760,743,781,746,749,790,810,804,≥760,≥792,783,805,807,≥775,≥775,775,793,820,804,809
后门门框上沿离地高? Upper -Body Opening to Ground - Second,H50-2,SAE J1100,mm,1520,1511,1536,1549,1469,1485,1518,,1505,1463,,/,1615,1629,1633,≥1340,1336,1247,1291,1306,1490,1514,1469,1550±10,1543±10,1547,/,1536,,,1485,1485,1505,1469,1549
二排人体H点与后门洞密封条前端的空间（BRL）,L71-2,LA6,mm,700,680,692,638,600,,647,,604,617,568.7,647,611,655,635,≥615,615,599,654,639,655,655,600,≥548,≥548,550,647,692,≥620,≥620,650,,604,600,638
二排人体H点与后门洞密封条后端的空间（BRL）,L70-2,LA7,mm,15,20,14,24,13,,34,,21,8,175,49,46,149,86,≥-10,-24,-48,-15,-63,"
-5",14.2,13,,,132,49,14,,,27,,21,13,24
二排H点上方665mm到门洞后沿的X向距离,LA8,见图示说明,mm,180,180,218,205.5,99,,,,213,193,303,245,244,272,243,≥120,116,162,66,74,/,149,99,,,234,245,218,,,187,,213,99,205.5
第二排R点向前15°线与门框（含密封条）交点与R点的距离,H15-2,GB/T 12673,mm,830,818,832,833,845,,,,831,830,797,795,801,815,873,≥780,760,804,767,760,/,/,845,,,811,795,832,,,816,,831,845,833
侧滑门开度（X向距离）,LB7,,mm,,/,/,/,/,,,,/,/,,/,/,/,/,/,/,/,/,/,/,/,/,,,/,/,/,,,/,,/,/,/
"侧滑门门洞Z向高度
X=R-330",LH7,,mm,,/,/,/,/,,,,/,/,,/,/,,/,/,/,/,/,/,/,/,/,,,/,/,/,,,/,,/,/,/
吸顶屏处顶棚与地毯高度,H23A,,mm,,/,/,/,/,,,,/,/,,/,/,1254,1223,,/,/,/,/,/,/,/,,,1176,/,/,,,/,,/,/,/
扶手处中通道最小宽度（座椅扶手处测量）,W93-U,,mm,,/,/,/,/,,,,/,/,,/,176,171,174,,/,/,/,/,/,/,/,,,159,/,/,,,/,,/,/,/
座椅侧护板处中通道宽度（地毯及往上80mm范围内测量）,W93-L,,mm,,/,/,/,/,,,,/,/,,/,259,276,252,,/,/,/,/,/,/,/,,,256,/,/,,,/,,/,/,/
天窗后部顶棚离地毯高度,H23B,,mm,,/,/,/,/,,,,/,/,,/,1181,1170,1260,,/,/,/,/,/,/,/,,,1140,/,/,,,/,,/,/,/
门槛上800mm处进出空间,L93-U,,mm,,/,/,/,/,,/,,/,/,,/,/,,/,,/,/,/,/,/,/,/,,,/,/,/,,,/,,/,/,/
门槛上400mm处进出空间,L93-M,,mm,,/,/,/,/,,/,,/,/,,351,/,,/,,/,/,/,/,/,/,/,,,/,351,/,,,/,,/,/,/
门槛处进出空间,L93-L,,mm,,/,/,/,/,,/,,/,/,,/,/,,/,,/,/,/,/,/,/,/,,,/,/,/,,,/,,/,/,/
主驾侧IP下边缘到人体踵点Z向高度,H0A,,mm,,,322,333.5,342,,,,312,304,,,/,312,307,≥320,317,339,321,303,/,329,342,,,329,,322,,,322.5,,312,342,333.5
副驾侧IP下边缘到人体踵点Z向高,H0B,,mm,,,/,/,/,,,,/,291,,/,/,/,/,≥300,313,332,287,/,/,/,/,,,/,/,/,,,297,,/,/,/
前排靠背之后的行李箱长度 Cargo Length at Floor - Behind Front Row,L202-1,SAE J1100,mm,,,/,/,/,,,,1795,1870,,/,/,/,/,/,/,1901,1911,1942,/,/,/,,,/,/,/,,,/,,1795,/,/
二排靠背之后的行李箱长度 Cargo Length at Floor - Behind Second Row,L202-2,SAE J1100,mm,,,1074,1042,964,,1028(尾门）,,938,1062,,/,/,/,1285,≥1100,980,1080,1046,1111,965,936,964,,,/,/,1074,,,955,,938,964,1042
三排靠背之后的行李箱长度 Cargo Length at Floor - Behind Third Row,L202-3,SAE J1100,mm,,/,/,/,/,,/,,/,/,530,418,512,552,588,/,/,/,/,/,/,/,/,,,488,418,/,,,/,,/,/,/
靠背最高最后点到背门饰板的X向长度,L208,SAE J1100,mm,,,/,/,/,,,,675,856,330,278,506,364,330,/,726,827,734,775,/,711,/,,,307,278,/,,,/,,675,/,/
最大行李箱宽度 Trunk width-max,W200,SAE J1100,mm,,1110,1395,1357,1120,,1227,,1166,1137,1119,1192,1166,1294,1183,/,1285,1506,1179,1168,1270,1250,1120,,,1070,1192,1395,,,1129,,1166,1120,1357
行李厢宽度（轮罩处）Wheelhouse Width  At Floor ,W201,SAE J1100,mm,,1060,1120,1080,988,,,,1033,1038,,1186,1166,1301,1183,≥1060,1051,907,1007,1040,1000,1061,988,,,1070,1186,1120,,,1109,,1033,988,1080
最小轮毂包宽度 Wheelhouse width-minimum,W202,SAE J1100,mm,,,1120,1080,970,,1052,,1033,1038,1119,1186,/,/,1183,≥1060,1051,907,1007,1040,1000,1061,970,,,1070,1186,1120,,,1055,,1033,970,1080
行李箱有效高度,H212,SAE J1100,mm,,,遮物帘未体现,740,/,,695,,674,704,519,718,754,/,756,/,583,663,622,542,/,706,/,,,753,718,遮物帘未体现,,,383,,674,/,740
行李箱地板到尾门门槛的高度 Lift Out Height (Y0),H193,SAE J1100,mm,10,10,28,15,6,,,,52,36.3,6,7,9,9,2,/,0,65,26,36,≤20,17.8,6,,,10,7,28,,,14,,52,6,15
后行李箱高度（尾门槛或锁扣至地面）Lift Over Height,H196,SAE J1100,mm,745,794,750,771,686,,757,,753,720,794,890,810,817,799,≤700,697,635,672,666,≤760,760,686,,,798,890,750,,,768,,753,686,771
后排座椅放倒后靠背角度,AA1,,,,,/,/,/,,,,14.7,15.2,,,/,/,5.1,,14.6,11.1,14.6,13,/,/,/,,,/,/,/,,,/,,14.7,/,/
行李厢盖板倾角,A212,SAE J1100,mm,,,2.7,3.2,2.5,,,,3.2,3.1,,4.2°,4.7,0.6,4.5,0,0.6,2.9,0,0.4,≤1.5,3°,2.5,,,0,4.2°,2.7,,,1.2,,3.2,2.5,3.2
前置行李箱容积,V216,GB/T 19514,L,,,/,/,/,,,,/,/,,,,,/,,/,/,20,38,/,/,/,,,/,/,/,,,/,,/,/,/
行李厢隐藏区域储物容积（L）,V209,GB/T 19514,L,,,/,/,/,,,,69,/,,/,/,/,/,≥90,67,/,107,54,/,32,/,,,40,/,/,,,105,,69,/,/
三排座椅靠背后面的行李箱容积 Closed Luggage Compartment -Third,V211-3,GB/T 19514,L,,,500,463,372,,,,469,531,,/,/,/,264,,415,/,392,441,/,416,372,,,206,/,500,,,420,,469,372,463
行李厢总容积（V211-3 + 盖板下容积）,V220,,L,,,/,/,/,,,,538,/,,172,236,260,/,≥495（未加前备箱）,482,494,499,495,/,448,/,,,246,172,/,,,525,,538,/,/
尾门开启高度（尾门最低点测量）,H251,SAE J1100,,,,/,/,/,,/,,/,/,,/,/,/,/,1800-1960,/,/,/,/,/,/,/,,,/,/,/,,,1888,,/,/,/
尾门开启高度（尾门最高点测量）,H110,SAE J1100,,,,/,/,/,,,,/,/,,1895,/,/,/,,/,/,/,/,1800~1920,1807,/,,,/,1895,/,,,2145,,/,/,/
尾门洞Z向高度,H202,SAE J1100,,,,758,755,719,,,,674,717,830,780,784,772,830,≥600,588,635,596,512,≥740,722.7,719,,,760,780,758,,,710,,674,719,755
尾门门洞宽度(上部) Rear opening width-upper,W205,SAE J1100,mm,,1000,1033,1034,898,,,,976,963,1045,994,981,1063,998,≥980,905,916,894,954,1000,1007,898,,,979,994,1033,,,1045,,976,898,1034
尾门门洞宽度(最大) Rear opening width-Max,W206,SAE J1100,mm,,1110,1144,1125,1028,,1175,,1091,1096,1155,1166,1175,1180,1180,≥1030,1027,966,1184,1034,1100,1092,1028,,,1069,1166,1144,,,1079,,1091,1028,1125
尾门门洞宽度(下部) Rear opening width-lower,W207,SAE J1100,mm,,1110,1107,1095,974,,,,1056,1065,1128.5,1138,1160,1167,1164,≥990,991,964,1121,1016,1090,1071,974,,,1063,1138,1107,,,1058,,1056,974,1095
前门水切高度 Belt Height-Front,H25-1,SAE J1100,mm,,,453,442,487,,468,,487,493,475.5,/,450,498,470,≤460,443,514,465,480,≤460,451,487,,,453,/,453,,,470,,487,487,442
后门水切高度 Belt Height-Second,H25-2,SAE J1100,mm,,,468,449,540,,460,,529,533,457.2,/,436,467,443,≤470,428,535,472,486,"
≤485",468,540,,,436,/,468,,,480,,529,540,449
三排腰线高 Belt Height-Third,H25-3,SAE J1100,mm,,,/,/,/,,,,/,/,473,/,422,446,499,/,/,/,/,/,/,/,/,,,/,/,/,,,/,,/,/,/
前方上视角(人体中平面) Vision Forward up C/L,A124-1-U,SAE J1100,°,16,16,15.4,17.3,16.3,16,19.2,,16.3,15.6,18,/,16.8,19°,19.2,≥14.5,14.1,16.2,13,13.4,≥16.7,16.63°,16.3,≥16.5,≥16.5,16.7,/,15.4,≥15,≥15,15,16,16.3,16.3,17.3
前方下视角(人体中平面) Vision Forward down C/L,A124-1-L,SAE J1100,°,6,前端5.8，后沿5.6,5.6,6.2,5.8,6,6,,5.6,6.2,5.4,/,5.8,5.6°,5.2,≥6,7,3.5,5.5,6.7,≥6.3,6.26°,5.8,≥6,≥6,6,/,5.6,≥6.2,≥6.2,6.4,6,5.6,5.8,6.2
前方上视角(Y0) Vision Forward up Y C/LO,A123-1-U,SAE J1100,°,,/,/,/,/,,,,/,/,18.7,/,/,5.1°,17.6,≥10,9.5,10.9,9.8,11.7,/,/,/,,,/,/,/,,,/,,/,/,/
前方下视角(Y0) Vision Forward down Y C/LO,A123-1-L,SAE J1100,°,,,5.5(机盖）,5.9,5.6,,5.7,,5.2,6.1,4.9,/,5.6,5°,4.7,≥6,7,3.5/1.5(表）,5.5/3.7(特征）,6.4,≥6,5.88°,5.6,,,5.7,/,5.5(机盖）,,,6,,5.2,5.6,5.9
后方上视角(人体中平面) Vision Rear up C/L,A124-2-U,SAE J1100,°,3,2,2,1.9,2.35,1,,,0.5,1.6,3.4,/,2.7,3.3°,3.8,/,-0.9,2.8,0.5,-1.9,/,2.7,2.35,≥3,≥3,2.9,/,2,≥1.5,≥1.5,1.5,1,0.5,2.35,1.9
后方下视角(人体中平面) Vision Rear down C/L,A124-2-L,SAE J1100,°,1.5,1.5,1.6,2.3,-0.65,2.4,,,-1.2,0.6,1,/,1.5,0.9°,0.5,/,1.3,-0.2,0.5,1.3,/,1,-0.65,≥1,≥1,1,/,1.6,≥2.5,≥2.5,2.5,2.4,-1.2,-0.65,2.3
后方上视角(Y0)Vision Rear up Y C/LO,A123-2-U,SAE J1100,°,,,2.6,2.1,3,,1.35,,0.5,1.6,4.3,/,2.8,3.4°,3.9,≥0.5,0.4,3.4,1.3,-2.4,/,2.6,3,,,3.3,/,2.6,,,1.5,,0.5,3,2.1
后方下视角(Y0) Vision Rear down Y C/LO,A123-2-L,SAE J1100,°,,,1.6,2.2,-1.7,,0.65,,-1.3,0.6,1,/,/,0.2°,0.4,≥1,0.4,-1.2,0,1.3,/,0.9,-1.7,,,1.2,/,1.6,,,2.4,,-1.3,-1.7,2.2
侧下视野,A063,,°,,,6.2,6.7,4.8,,/,,4.5,4.6,,,5.8,4.1,5.3,,6.7,3.5,5.9,5.1,≥5.8,6.8°,4.8,≥5,≥5,6.6,,6.2,,,5.7,,4.5,4.8,6.7
A柱盲区角度(左侧) A-pillar obscuration angle-left,A160-A1,SAE J1100,°,,4.1,4.3,5.2,/,,NA,,5.5,5,,/,3.2,3.6,3.9,≤4,3.9,/,4.5,3,≤4,3.6°,/,≤4,≤4,3.6,/,4.3,≤4.2,≤4.2,4.2,,5.5,/,5.2
前门外把手距地高度,HA8,,mm,,,1009,976,976,,,,973,972,1015,/,1025,1032,1046,780~1060,850,840,846,818,/,958,976,,,986,/,1009,,,941,,973,976,976
后门外把手距地高度,HA9,,mm,,,1043,1011,1027,,,,1039,1042,1038,/,1058,1078,1080,780~1060,887,877,882,852,/,989,1027,,,1018,/,1043,,,970,,1039,1027,1011
充电口离地高度,HA10,,mm,,,1009,1044,1029,,,,/,/,1050,/,1056,1082,1090,780~1060,914,/,909,/,/,996,1029,,,1035,/,1009,,,1017,,/,1029,1044
方向盘中心点与R点水平间隙,LA22,,mm,400,400,378,371,390,,,,408,409,400,403,378,394,424,390,379,370,380,394,/,410,390,,,410,403,378,,,406,,408,390,371
方向盘中心点与R点垂直间隙,HA20,,mm,377,377,396,377,400,,,,383,386,380,376,396,366,385,385,374,408,389,391,/,375,400,,,375,376,396,,,377,,383,400,377
方向盘中心点与踵点水平间隙,L11,SAE J1100,mm,426,426,721,383,411,,,,690,409,406,401,430,390,374,485,490,470,483,474,414,412,411,,,412,401,721,,,414,,690,411,383
BOF点到方向盘中心的水平距离 Pedal Reference Point to Steering Wheel Center,L6,SAE J1100,mm,538.9,538.9,553,513,529,,528,,527,521,527.8,524,547,522,498,575,581,564,577,567,/,527,529,,,527,524,553,,,524,,527,529,513
方向盘中心点到踵点高度 Accelerator Heel Point to Steering Wheel Center,H17,SAE J1100,mm,677,677,720,691,715,700,690,,690,701,710,694,726,711,715,615,603,623,625,630,685,685,715,685,685,685,694,720,680±10,680±10,677,700,690,715,691
方向盘直径,W9,SAE J1100,mm,380,380,373,373,380,,,,379,375,380,374,372,375,373,375,378,374,375,365,375,375,380,,,375,374,373,,,375,,379,380,373
方向盘倾角 Steering Wheel Angle,A18,SAE J1100,°,24.5,24.5,22.2,22.8,25.5,24,25,,25,24.2,26,28.6,/,/,26.1,20~21.5,20.6,16.3,19.2,22.8,25,25,25.5,,,25,28.6,22.2,25±1,25±1,25,24,25,25.5,22.8
方向盘角度调节范围,A17,SAE J1100,,±2.2,±2.2,/,/,1.9/1.6,,,,±2.1,±2.4,,±2.9,/,/,±3.1,±2.5,±0.9,±2.3,±2.9,±2.7,/,±2.5,1.9/1.6,,,/,±2.9,/,,,/,,±2.1,1.9/1.6,/
方向盘前后调节行程,SWCL1,,,±24,±24,/,/,±21,,,,±27,±30,,±22.8,/,/,±28.3,±24,±26.3,±32,±25.2,±26.2,/,±24,±21,,,/,±22.8,/,,,/,,±27,±21,/
方向盘轮辋截面厚度,H03,,,40,40,,,,,,,,40,,/,/,/,/,,44,/,/,/,/,40,/,,,/,/,,,,40,,/,/,/
方向盘轮辋截面宽度,W03,,,31,31,/,/,/,,,,/,30,,/,/,/,/,/,38,/,/,/,/,40,/,,,/,/,/,,,40,,/,/,/
油门踏板形式（悬挂式or落地式）,PM,,,落地式,落地式,落地式,落地式,落地式,,,,落地式,落地式,,落地式,落地式,/,落地式,落地式,落地式,落地式,落地式,落地式,/,落地式,落地式,,,落地式,落地式,落地式,,,落地式,,落地式,落地式,落地式
油门踏板宽度 Accelerator Pedal Width,PW11,SAE J1100,mm,48,48,49,49,45,,,,45,44,45,39,47,49,44,/,45,56,45,46,/,48,45,,,48,39,49,,,48,,45,45,49
油门踏板长度 Accelerator Pedal Size,PH11,SAE J1100,mm,204,204,240,240,202,,,,205,205,,205,243,224,206,/,204,239,207,202,/,204,202,,,204,205,240,,,204,,205,202,240
油门踏板踏点至人体R点Y向距离? PRP to Driver Centerline,PW98,SAE J1100,mm,,,185,180,174,,186,,171,163,,179,178,180,181,/,170,128,188,181,/,178,174,,,179,179,185,,,185,,171,174,180
油门踏板与右侧副仪表板Y向最小间距 Accelerator Pedal to Right Foot Support Structure,PW17,SAE J1100,mm,,,25,44,44,,35,,46,46.5,52.6,41,38,49,41,≥40,40,21,44,60,40,40,44,≥40,≥40,40,41,25,40~50,40~50,44,,46,44,44
油门踏板初始位置离地毯高度,PH16,,mm,,,/,/,/,,,,/,169,,,/,/,/,,/,/,/,/,/,/,/,,,/,,/,,,/,,/,/,/
油门踏板中心到制动踏板中心Y向距离 PRP to Brake Centerline,PW82,SAE J1100,mm,,,149,152,136,70,,,148,/,,144,149,154,141,,148,/,143,150,/,145,136,,,145,144,149,,,146,70,148,136,152
制动踏板与油门踏板高差 Accelerator to Brake Liftoff (Step Over),PL1,SAE J1100,mm,,,38,41,39,40,39,,34.8,/,37,34,41,32,33,30~40,32,/,30,37,37,40,39,35~40,35~40,37,34,38,30~50,30~50,37,40,34.8,39,41
制动踏板宽度 Brake Pedal Width,PW22,SAE J1100,mm,104,,105,121,100,,,,102,/,104,107,95,109,103,,104,/,101,102,/,104,100,,,104,107,105,,,104,,102,100,121
制动踏板长度 Brake Pedal Pad Size,PH22,SAE J1100,mm,54,,69,76,59,,,,65,/,,60,67,71,58.6,,60,/,60,67,/,37,59,,,77,60,69,,,54,,65,59,76
制动踏板右端与加速踏板左端的最小距离 Accelerator to Brake Lateral Separation,PW21,SAE J1100,mm,,,70,65,64,,68,,74,/,70.9,70,75,69,66,65~75,69,/,65,73,62,66.8,64,66~70,66~70,62,70,70,60~75,60~75,65,,74,64,65
制动踏板中心点到踵点高度 Middle of Brake to AHP,PH31,SAE J1100,mm,,,133,124,136,,174,,178,/,,170,180,154,164,,185,/,175,179,/,177,136,,,177,170,133,,,141,,178,136,124
制动踏板右侧到R点Y向距离,PW92,SAE J1100,mm,,,88,91,87,,,,/,/,,87,78,81,91,,77,/,97,83,/,86,87,,,86,87,88,,,91,,/,87,91
制动踏板初始位置离地毯高度H1,PH26,SAE J1100,mm,,,134,138,151,,,,149,/,,/,/,122,115,,154,/,146,143,/,/,151,,,145,/,134,,,146,,149,151,138
歇脚踏板中心与R点Y向距离,WA22,,mm,,,193,193,192,,,,197,210,211,203,197,215,205,,175,198,185,199,/,217,192,,,215,203,193,,,222,,197,192,193
歇脚踏板角度,AA5,,°,,,45.3,48,48.4,,,,49.5,49.9,49,46.5°,46,44,43,,60.5,51.2,59.4,57.8,/,51.9,48.4,,,51.2,46.5°,45.3,,,51.4,,49.5,48.4,48
歇脚踏板宽度,WA23,,mm,,,140,135,121,,,,100,117,77,89,108,139,146,,135,120,124,116,/,127,121,,,130,89,140,,,109,,100,121,135
歇脚踏板右侧到制动踏板左侧最小距离,PW42,SAE J1100,mm,,,99,103,112,,,,116,/,138.7,136,130,110,124,≥120,75,/,120,132,140,128,112,≥110,≥110,111,136,99,≥150,≥150,/,,116,112,103
C点到地面的Z向高度 Cowl Point to Ground,H120-1,SAE J1100,mm,,1172,1174,1189,1106,,1122,,1106,1098,,/,1208,1222,1217,,969,976,992,968,1110,1139,1106,,,1168,/,1174,,,1124,,1106,1106,1189
C点距离前轮心,L118,,,,,416,374,402,,,,213,195,,/,422,356,431,,354,507,315,532,200~350,290.5,402,,,291,/,416,,,321,,213,402,374
D点高度,H120-2,SAE J1100,mm,,,49.6,1230,1387(雨刮）,,,,1298,1215,,/,1247,1331,1285,,1137,1053,1126,1023,/,1222,1387(雨刮）,,,1233,/,49.6,,,1210,,1298,1387(雨刮）,1230
前挡风玻璃倾角 Glazing Angle Windscreen,A130-1,SAE J1100,°,,,56.6,58.2,60.8,,,,60.7,60.3,57,/,56.5,56.1,55.5,,60.9,61.5,63.5,60.3,56~60,58.1,60.8,,,58,/,56.6,,,58.8,,60.7,60.8,58.2
后挡风玻璃倾角 Glazing Angle Backlight,A130-2,SAE J1100,°,,,49.6,51.5,/,,,,62.6,60.9,38.9,/,45,40.2,41.4,,58.1,61.7,67.9,70.7,47~55,50.2,/,,,37,/,49.6,,,54.3,,62.6,/,51.5
前侧窗玻璃倾角 Tumblehome - Side Glass-1st Row,A122-1,SAE J1100,°,,,22,20.5,23.6,,,,21.8,21.7,19.5,/,19.1,20.8,19,,20.7,27.1,23.2,23.4,22,18.6,23.6,,,18.7,/,22,,,21.8,,21.8,23.6,20.5
后侧窗玻璃倾角 Tumblehome - Side Glass-2nd Row,A122-2,SAE J1100,°,,,22.2,21,27.5,,,,22.6,22.9,19.4,/,19.7,21.1,19.8,,21.6,26.4,26.3,23.3,22,19,27.5,,,19.2,/,22.2,,,22.2,,22.6,27.5,21
座椅导轨倾角,A19,SAE J1100,°,,,/,2.3,4,,/,,4.8,4,,4.1,3.8,2.4,1.7,,3.1,7.2,5.9,4.3,3.5,3.5,4,3.5°,3.5°,3.5,4.1,/,3.5±0.5,3.5±0.5,3.5,/,4.8,4,2.3
前,TL23,SAE J1100,mm,,,/,180,200,,/,,223,208,,188,198,175,210,,182,169,218,192,/,220,200,220,220,220,188,/,200±5,200±5,200,220,223,200,180
后,TL6,,mm,,,/,60,40,,/,,36,44,,71,20,47,62,,61,59,41,26,/,40,40,40,40,40,71,/,60±5,60±5,40,40,36,40,60
上,TH22,SAE J1100,mm,,,/,32,33,,/,,51,30,,40,35,25,39,,36,27,42,33,/,40,33,40,40,40,40,/,35±5,35±5,36,40,51,33,32
下,TH1,,mm,,,/,36,21,,/,,21,29,,29,35,31,30,,20,45,25,29,/,20,21,20,20,20,29,/,25±5,25±5,25,25,21,21,36
